Dataset,Classifier_Name,CV_mean,CV_std,Test_score
Skyserver,StandardScaler_MLP,0.984875,0.0050140427800329105,0.9845
Skyserver,MinMaxScaler_MLP,0.978,0.006451743950281963,0.9795
Skyserver,MaxAbsScaler_MLP,0.9737499999999999,0.005916079783099614,0.9755
Skyserver,RobustScaler_MLP,0.988875,0.0031349840509961174,0.9865
Skyserver,QuantileTransformer-Normal_MLP,0.9852500000000001,0.002610076627227627,0.984
Skyserver,QuantileTransformer-Uniform_MLP,0.9845,0.002861380785564882,0.983
Skyserver,PowerTransformer-Yeo-Johnson_MLP,0.9879999999999999,0.004190763653560053,0.985
Skyserver,Normalizer_MLP,0.79775,0.012434830115445885,0.7985
,,,,
Skyserver,_MLP-PCA,0.7368750000000001,0.12075575814428065,0.0815
Skyserver,StandardScaler_MLP-PCA,0.861375,0.012060394894032283,0.8625
Skyserver,MinMaxScaler_MLP-PCA,0.798875,0.012654668111017366,0.7965
Skyserver,MaxAbsScaler_MLP-PCA,0.79725,0.01230853362509118,0.798
Skyserver,RobustScaler_MLP-PCA,0.985,0.0038324274291889494,0.9855
Skyserver,QuantileTransformer-Normal_MLP-PCA,0.858125,0.012161028944953623,0.858
Skyserver,QuantileTransformer-Uniform_MLP-PCA,0.863875,0.01031458312293813,0.867
Skyserver,PowerTransformer-Yeo-Johnson_MLP-PCA,0.8735000000000002,0.010647769719523427,0.9435
Skyserver,Normalizer_MLP-PCA,0.797875,0.01245052709727584,0.7985
